movie_id,actor_id,role_name
1,26,Supporting
1,760,Lead
2,143,Cameo
2,755,Cameo
2,105,Cameo
3,605,Lead
3,433,Lead
4,224,Cameo
4,239,Cameo
5,575,Cameo
5,204,Cameo
6,226,Lead
6,460,Lead
6,604,Cameo
6,285,Supporting
6,829,Supporting
7,160,Supporting
7,221,Lead
7,981,Lead
7,782,Supporting
8,368,Supporting
8,868,Cameo
9,827,Cameo
9,45,Lead
9,748,Supporting
9,471,Lead
10,850,Supporting
10,644,Cameo
10,634,Lead
10,907,Cameo
11,47,Lead
11,678,Supporting
12,876,Lead
12,239,Supporting
13,465,Lead
13,651,Supporting
13,855,Supporting
13,374,Lead
14,719,Lead
14,960,Cameo
14,700,Cameo
14,664,Lead
15,168,Supporting
15,474,Cameo
15,389,Cameo
16,702,Lead
16,333,Lead
16,864,Lead
17,411,Cameo
17,275,Cameo
17,68,Supporting
17,217,Lead
18,406,Lead
18,906,Supporting
18,937,Lead
18,659,Lead
18,470,Cameo
19,765,Cameo
19,599,Supporting
19,439,Supporting
19,920,Lead
20,522,Lead
20,506,Lead
20,94,Lead
21,812,Cameo
21,697,Lead
21,433,Supporting
22,611,Cameo
22,480,Lead
22,542,Cameo
22,258,Cameo
22,995,Lead
23,788,Supporting
23,657,Supporting
23,349,Lead
23,115,Supporting
24,977,Cameo
24,740,Supporting
25,520,Cameo
25,935,Supporting
25,109,Cameo
26,157,Lead
26,383,Cameo
26,781,Cameo
27,614,Supporting
27,332,Lead
28,952,Supporting
28,372,Lead
29,247,Cameo
29,900,Lead
30,750,Lead
30,498,Cameo
31,132,Cameo
31,676,Lead
31,487,Supporting
32,988,Cameo
32,217,Cameo
32,952,Lead
32,553,Cameo
32,774,Supporting
33,688,Cameo
33,666,Supporting
33,383,Lead
33,449,Lead
33,922,Lead
34,347,Cameo
34,22,Cameo
35,603,Lead
35,226,Cameo
35,8,Cameo
36,235,Lead
36,70,Supporting
37,527,Supporting
37,244,Cameo
38,220,Cameo
38,553,Cameo
38,136,Supporting
38,741,Lead
38,958,Supporting
39,195,Supporting
39,97,Supporting
39,100,Supporting
39,675,Supporting
39,442,Cameo
40,690,Cameo
40,670,Lead
41,413,Supporting
41,746,Lead
42,197,Supporting
42,195,Lead
42,550,Supporting
43,286,Lead
43,474,Supporting
43,256,Cameo
44,52,Cameo
44,668,Lead
45,949,Lead
45,772,Lead
46,498,Lead
46,493,Lead
46,219,Supporting
46,886,Lead
46,411,Supporting
47,949,Supporting
47,803,Supporting
47,804,Cameo
47,466,Cameo
48,159,Lead
48,195,Cameo
48,304,Cameo
48,223,Cameo
48,992,Lead
49,59,Cameo
49,52,Cameo
49,599,Lead
49,489,Lead
50,872,Lead
50,191,Cameo
51,692,Lead
51,883,Supporting
52,965,Cameo
52,912,Lead
53,635,Supporting
53,84,Cameo
54,958,Cameo
54,268,Supporting
54,210,Lead
54,686,Supporting
55,135,Supporting
55,688,Lead
55,661,Lead
55,308,Supporting
55,469,Cameo
56,76,Lead
56,551,Cameo
57,136,Lead
57,956,Lead
57,358,Supporting
57,903,Supporting
58,449,Cameo
58,854,Supporting
58,557,Cameo
59,684,Cameo
59,837,Supporting
60,962,Lead
60,900,Supporting
61,912,Cameo
61,110,Cameo
62,279,Lead
62,289,Cameo
62,620,Supporting
63,704,Supporting
63,650,Cameo
63,874,Supporting
64,928,Lead
64,930,Cameo
64,867,Supporting
64,53,Supporting
65,4,Lead
65,342,Cameo
66,166,Cameo
66,760,Supporting
66,453,Cameo
66,565,Lead
67,78,Cameo
67,968,Lead
68,855,Cameo
68,379,Cameo
69,441,Supporting
69,131,Supporting
69,43,Lead
70,216,Lead
70,699,Supporting
70,256,Cameo
70,683,Supporting
71,948,Lead
71,953,Lead
71,243,Supporting
72,184,Supporting
72,755,Supporting
73,274,Cameo
73,164,Lead
73,807,Supporting
74,880,Lead
74,482,Lead
75,359,Lead
75,313,Lead
75,841,Lead
75,815,Cameo
75,893,Lead
76,337,Supporting
76,286,Supporting
76,886,Cameo
76,72,Cameo
76,991,Supporting
77,962,Supporting
77,29,Lead
77,119,Cameo
77,899,Supporting
78,112,Supporting
78,611,Supporting
79,447,Supporting
79,621,Cameo
79,524,Lead
79,119,Supporting
80,726,Lead
80,447,Cameo
81,373,Cameo
81,442,Supporting
81,72,Cameo
82,680,Supporting
82,869,Cameo
82,128,Supporting
82,738,Cameo
83,335,Lead
83,413,Lead
83,714,Supporting
83,303,Cameo
83,568,Supporting
84,631,Supporting
84,583,Cameo
84,309,Lead
85,294,Cameo
85,216,Cameo
85,441,Cameo
85,805,Supporting
86,453,Cameo
86,692,Lead
86,219,Cameo
86,524,Lead
86,485,Supporting
87,96,Lead
87,839,Cameo
87,975,Supporting
87,770,Lead
88,151,Lead
88,26,Supporting
88,48,Cameo
89,467,Cameo
89,425,Cameo
90,736,Supporting
90,714,Supporting
90,394,Lead
91,672,Lead
91,705,Supporting
91,6,Lead
92,824,Cameo
92,981,Supporting
92,713,Lead
93,940,Supporting
93,869,Lead
93,125,Supporting
94,973,Cameo
94,774,Cameo
94,913,Cameo
94,454,Supporting
95,919,Supporting
95,163,Supporting
95,762,Lead
95,883,Cameo
95,487,Supporting
96,642,Cameo
96,245,Supporting
96,282,Lead
96,451,Supporting
96,80,Supporting
97,915,Lead
97,554,Lead
97,83,Supporting
97,142,Cameo
98,724,Supporting
98,220,Supporting
98,66,Supporting
99,426,Supporting
99,64,Cameo
99,212,Cameo
99,853,Lead
99,431,Cameo
100,489,Supporting
100,7,Supporting
100,966,Cameo
100,361,Cameo
100,306,Cameo
