movie_id,title,release_year,genre,duration_minutes,language
1,Silent Odyssey Chronicles,2003,Romance,97,Italian
2,404 Not Found,1987,Drama,160,French
3,Silent Odyssey Forever,2004,Thriller,156,Italian
4,Virtual Mirror Returns,2023,LGBTQ+,94,Korean
5,Lost World Awakens,2007,Drama,138,English
6,Golden Code Files,1991,Documentary,93,Korean
7,Virtual Odyssey Reloaded,1989,Horror,177,French
8,Pride Storm Returns,2018,Horror,142,English
9,Main Character Energy,1999,Romance,87,Japanese
10,Fast World Loop,2011,Adventure,88,French
11,Ok Boomer,2015,Drama,113,German
12,Virtual Story Loop,2024,Romance,171,Korean
13,Pixel Escape Unplugged,2008,Documentary,137,Spanish
14,Fast Horizon Returns,2017,Documentary,109,Japanese
15,Cancel Me If You Can,1983,Romance,88,English
16,Fast Storm Reloaded,1997,Musical,142,Japanese
17,Golden Odyssey Diaries,2010,Romance,180,Italian
18,Dark World Forever,2022,Thriller,125,German
19,Hidden Pulse Returns,2023,Musical,162,Spanish
20,Main Character Energy,1986,Romance,104,Japanese
21,Dream Galaxy Saga,1997,Fantasy,111,Spanish
22,Hidden Mirror Files,1986,Action,163,English
23,Pride Mirror Reloaded,1990,Thriller,142,Italian
24,Silent City Saga,2004,Action,129,Korean
25,Pride Shadow Awakens,2007,LGBTQ+,173,Italian
26,Love in the Cloud Storage,1993,Action,154,English
27,Love City Diaries,2010,Documentary,147,French
28,The Algorithm,1985,Adventure,103,Spanish
29,Pixel Mirror Reloaded,2005,Comedy,152,Japanese
30,Love Odyssey Forever,2006,Musical,154,Hindi
31,Dark Escape Loop,2000,Romance,113,German
32,Cancel Me If You Can,1999,Fantasy,120,Spanish
33,Vibe Check,2016,Comedy,89,Japanese
34,Dream Horizon Forever,1995,Horror,116,French
35,Virtual Pulse Awakens,2019,Crime,163,English
36,Virtual Code Algorithm,1986,Drama,113,Spanish
37,Golden Storm Saga,1997,Sci-Fi,157,Japanese
38,Dark Escape Algorithm,1996,Documentary,142,Korean
39,Hidden City Forever,2020,Thriller,115,English
40,They/Them: The Musical,2020,Sci-Fi,100,Italian
41,Silent Storm Returns,1987,Comedy,168,French
42,Hidden Horizon Diaries,2015,Drama,135,French
43,Main Character Energy,1982,Horror,106,Japanese
44,Lost Story Files,2006,Animation,175,French
45,Dark Mirror Saga,1991,Thriller,83,French
46,Lost Story Chronicles,2022,Adventure,174,Japanese
47,Pride Pulse Forever,2004,Adventure,84,Italian
48,Hidden Shadow Unplugged,1999,Adventure,109,Japanese
49,Fast & the Curious,2005,Horror,115,Spanish
50,Bright Horizon Algorithm,2012,Thriller,166,Hindi
51,Fast Code Saga,2017,Sci-Fi,84,Spanish
52,Lost Pulse Protocol,2000,Thriller,157,Spanish
53,Midnight Warrior Awakens,1982,LGBTQ+,135,English
54,Pride Storm Algorithm,2022,Romance,126,German
55,Cancel Me If You Can,2001,Animation,120,Spanish
56,Bright Storm Awakens,2022,Thriller,121,German
57,Virtual Hearts Reloaded,2006,Musical,128,French
58,Bright Galaxy Files,1980,Sci-Fi,116,Japanese
59,Midnight Odyssey Algorithm,2000,Fantasy,136,Italian
60,Virtual Shadow Protocol,1990,Musical,90,Korean
61,Pixel Odyssey Unplugged,1985,Adventure,176,Japanese
62,Dark Story Reloaded,1989,Action,85,Japanese
63,Midnight Mirror Protocol,1984,Fantasy,133,Japanese
64,Silent Shadow Chronicles,1995,Drama,163,English
65,Hidden Story Forever,2007,Romance,102,Italian
66,Fast & the Curious,1987,Fantasy,97,Italian
67,Virtual Odyssey Unplugged,2008,Animation,172,German
68,Virtual Shadow Saga,2010,Fantasy,113,Japanese
69,Bright Story Protocol,2013,Fantasy,160,Japanese
70,Fast Pulse Awakens,1995,Sci-Fi,122,Hindi
71,Fast Hearts Saga,1994,Thriller,168,French
72,Fast Galaxy Chronicles,2001,Documentary,139,German
73,Swipe Right for Love,2004,Crime,154,English
74,Pride Odyssey Chronicles,2010,Action,125,Korean
75,Hidden Mirror Chronicles,2014,LGBTQ+,174,Japanese
76,Bright Galaxy Legacy,1981,Thriller,123,German
77,Hidden Shadow Saga,2019,Documentary,83,German
78,Pixel City Forever,2021,Thriller,97,Italian
79,Love in the Cloud Storage,2004,Horror,107,Italian
80,Pride Galaxy Awakens,2006,Sci-Fi,90,Italian
81,The Algorithm,1983,Horror,108,Spanish
82,Pixel City Protocol,1981,Romance,105,English
83,Dark Hearts Legacy,2022,Comedy,152,Japanese
84,Bright Story Unplugged,1990,Animation,157,Spanish
85,Dream Code Forever,2017,Action,119,German
86,Golden Warrior Forever,2017,LGBTQ+,160,Japanese
87,Love in the Cloud Storage,2023,Animation,95,English
88,Silent Escape Unplugged,1984,Documentary,162,Hindi
89,Swipe Right for Love,2011,Comedy,135,Hindi
